sample_id,place,sample_name,treatment,rep,pH,EC(μS/cm),TOC(g/kg),TOM(g/kg)
LHK1_1,LiHe,ZY1-1,ZY1,1,5,275,24.339,41.960436
LHK1_2,LiHe,ZY1-2,ZY1,2,4.91,265,24.289125,41.8744515
LHK1_3,LiHe,ZY1-3,ZY1,3,4.98,280,25.26069,43.54942956
LHK1_4,LiHe,ZY1-4,ZY1,4,6.44,340,22.345995,38.52449538
LHK05_1,LiHe,ZY0.5-1,ZY0.5,1,4.84,255,16.516605,28.47462702
LHK05_2,LiHe,ZY0.5-2,ZY0.5,2,4.53,235,19.4313,33.4995612
LHK05_3,LiHe,ZY0.5-3,ZY0.5,3,4.95,242,17.48817,30.14960508
LHK05_4,LiHe,ZY0.5-4,ZY0.5,4,4.83,250,18.459735,31.82458314
LHK0_1,LiHe,ZY0-1,ZY0,1,5.02,177.7,14.573475,25.1246709
LHK0_2,LiHe,ZY0-2,ZY0,2,5.09,154.9,12.630345,21.77471478
LHK0_3,LiHe,ZY0-3,ZY0,3,5.07,161.9,14.573475,25.1246709
LHK0_4,LiHe,ZY0-4,ZY0,4,5.23,175.7,10.687215,18.42475866
